ID,Year of death,Age,Gender,Province,Vehicle
10103986,2562,55,1,Krabi, Motorcycle
10103556,2562,32,1,Phang Nga, Motorcycle
10101751,2562,61,1,Phang Nga, Motorcycle
10103042,2562,33,1,Surat Thani, Motorcycle
10105143,2562,56,1,Surat Thani, Motorcycle
10101479,2562,66,1,Surat Thani, Motorcycle
10103479,2562,43,1,Surat Thani, Motorcycle
10101334,2562,31,1,Nakhon Si Thammarat, Motorcycle
10104868,2562,28,1,Phuket, Motorcycle
10101787,2562,16,1,Nakhon Si Thammarat, Motorcycle
10105101,2562,62,1,Nakhon Si Thammarat, Motorcycle
10102162,2562,15,1,Krabi, Motorcycle
10104538,2562,17,1,Krabi, Motorcycle
10102343,2562,40,1,Krabi, Motorcycle
10104342,2562,27,1,Phang Nga, Motorcycle
10104153,2562,21,1,Surat Thani, Motorcycle
10115334,2562,19,1,Pattani, Motorcycle
10115098,2562,29,1,Pattani,Car
10115097,2562,31,1,Pattani,Car
10118241,2562,36,1,Pattani, Motorcycle
10117371,2562,16,1,Yala, Motorcycle
10114476,2562,29,1,Yala,Car
10117228,2562,17,1,Narathiwat, Motorcycle
10114483,2562,20,1,Narathiwat, Motorcycle
10113434,2562,34,1,Narathiwat,Car
10115737,2562,41,1,Narathiwat, Motorcycle
10116283,2562,64,1,Narathiwat, Motorcycle
10115099,2562,67,1,Pattani, Motorcycle
10116027,2562,41,1,Phatthalung, Motorcycle
10115723,2562,65,1,Phatthalung, Motorcycle
10115327,2562,17,1,Phatthalung, Motorcycle
10114471,2562,23,1,Phatthalung, Motorcycle
10116829,2562,15,1,Yala, Motorcycle
10117224,2562,16,1,Yala, Motorcycle
10115739,2562,11,1,Narathiwat, Motorcycle
10116279,2562,17,1,Narathiwat, Motorcycle
10114866,2562,54,1,Narathiwat, Motorcycle
10117728,2562,13,1,Phatthalung, Motorcycle
10116026,2562,41,1,Phatthalung, Motorcycle
10118238,2562,54,1,Phatthalung, Motorcycle
10116825,2562,28,1,Pattani,Car
10116040,2562,15,1,Yala, Motorcycle
10116281,2562,19,1,Narathiwat,Van
10116042,2562,37,1,Narathiwat, Motorcycle
9611605,2561,29,1,Phuket, Motorcycle
9614858,2561,28,1,Yala, Motorcycle
9611266,2561,35,1,Yala, Motorcycle
9614410,2561,37,1,Surat Thani, Motorcycle
9614010,2561,41,1,Ranong,Car
9611074,2561,18,1,Nakhon Si Thammarat,Car
9615256,2561,31,1,Songkhla,Car
9610573,2561,48,1,Songkhla,Car
9612680,2561,42,1,Chumphon,Car
9614032,2561,54,1,Krabi,Car
9609892,2561,39,1,Ranong,Car
9615286,2561,20,1,Pattani,Car
9610539,2561,16,1,Yala, Motorcycle
9613397,2561,34,1,Songkhla,Car
9612775,2561,22,1,Phuket,Car
9610537,2561,21,1,Yala,Car
9611987,2561,60,1,Phatthalung,Car
9611517,2561,57,1,Pattani,Van
9615546,2561,15,1,Krabi, Motorcycle
9615555,2561,17,1,Surat Thani, Motorcycle
9615562,2561,12,1,Songkhla, Motorcycle
9615457,2561,14,1,Trang, Motorcycle
9615572,2561,12,1,Pattani, Motorcycle
10102895,2562,15,1,Nakhon Si Thammarat, Motorcycle
10101757,2562,17,1,Nakhon Si Thammarat, Motorcycle
10103801,2562,17,1,Nakhon Si Thammarat, Motorcycle
10101265,2562,17,1,Nakhon Si Thammarat, Motorcycle
10103258,2562,17,1,Nakhon Si Thammarat, Motorcycle
10104794,2562,17,1,Nakhon Si Thammarat, Motorcycle
10102205,2562,16,1,Surat Thani, Motorcycle
10104826,2562,18,1,Surat Thani, Motorcycle
10101963,2562,31,1,Surat Thani, Motorcycle
